state,high school,bachelor,advanced
Montana,93.00,30.70,10.10
New Hampshire,92.80,36.00,13.80
Minnesota,92.80,34.80,11.80
Wyoming,92.80,26.70,9.30
Alaska,92.40,29.00,10.40
North Dakota,92.30,28.90,7.80
Vermont,92.30,36.80,15.00
Maine,92.10,30.30,10.90
Iowa,91.80,27.70,9.00
Utah,91.80,32.50,11.00
Wisconsin,91.70,29.00,9.90
Hawaii,91.60,32.00,10.80
South Dakota,91.40,27.80,8.30
Colorado,91.10,39.40,14.60
Nebraska,90.90,30.60,10.20
Washington,90.80,34.50,12.70
Kansas,90.50,32.30,11.70
District of Columbia,90.30,56.60,32.80
Massachusetts,90.30,42.10,18.70
Idaho,90.20,26.80,8.50
Michigan,90.20,28.10,11.00
Connecticut,90.20,38.40,17.00
Oregon,90.20,32.30,12.20
Pennsylvania,89.90,30.10,11.80
Maryland,89.80,39.00,18.00
Ohio,89.80,27.20,10.20
Delaware,89.30,31.00,12.90
Missouri,89.20,28.20,10.70
New Jersey,89.20,38.10,14.70
Virginia,89.00,37.60,16.10
Illinois,88.60,33.40,13.00
Indiana,88.30,25.30,9.20
Florida,87.60,28.50,10.30
Oklahoma,87.50,24.80,8.30
Rhode Island,87.30,33.00,13.10
North Carolina,86.90,29.90,10.60
South Carolina,86.50,27.00,9.80
Tennessee,86.50,26.10,9.60
Arizona,86.50,28.40,10.70
Georgia,86.30,29.90,11.40
New York,86.10,35.30,15.40
West Virginia,85.90,19.90,7.90
Nevada,85.80,23.70,8.10
Arkansas,85.60,22.00,7.90
Alabama,85.30,24.50,9.10
Kentucky,85.20,23.20,9.60
New Mexico,85.00,26.90,11.80
Louisiana,84.30,23.40,8.10
Mississippi,83.40,21.30,8.00
Texas,82.80,28.70,9.90
California,82.50,32.60,12.20
Northern Mariana Islands,82.40,20.20,3.70
