"rank","State","Pop","Growth","Pop2018","Pop2010","growthSince2010","Percent","density"
"1","California","39937500","0.0096","39557000","37320900","0.0701","0.1194","256.3728"
"2","Texas","29472300","0.0268","28701800","25242700","0.1676","0.0881","112.8204"
"3","Florida","21993000","0.0326","21299300","18845800","0.1670","0.0658","410.1259"
"4","New York","19440500","-0.0052","19542200","19400100","0.0021","0.0581","412.5218"
"5","Pennsylvania","12820900","0.0011","12807100","12711200","0.0086","0.0383","286.5454"
"6","Illinois","12659700","-0.0064","12741100","12840800","-0.0141","0.0379","228.0246"
"7","Ohio","11747700","0.0050","11689400","11539300","0.0181","0.0351","287.5040"
"8","Georgia","10736100","0.0206","10519500","9711810","0.1055","0.0321","186.6726"
"9","North Carolina","10611900","0.0220","10383600","9574290","0.1084","0.0317","218.2710"
"10","Michigan","10045000","0.0049","9995920","9877540","0.0170","0.0300","177.6650"
"11","New Jersey","8936570","0.0031","8908520","8799620","0.0156","0.0267","1215.1985"
"12","Virginia","8626210","0.0127","8517680","8023680","0.0751","0.0258","218.4404"
"13","Washington","7797100","0.0347","7535590","6742900","0.1563","0.0233","117.3273"
"14","Arizona","7378490","0.0288","7171650","6407770","0.1515","0.0221","64.9549"
"15","Massachusetts","6976600","0.0108","6902150","6566430","0.0625","0.0209","894.4359"
"16","Tennessee","6897580","0.0188","6770010","6355300","0.0853","0.0206","167.2749"
"17","Indiana","6745350","0.0080","6691880","6490440","0.0393","0.0202","188.2809"
"18","Missouri","6169270","0.0070","6126450","5995980","0.0289","0.0185","89.7453"
"19","Maryland","6083120","0.0067","6042720","5788640","0.0509","0.0182","626.6735"
"20","Wisconsin","5851750","0.0066","5813570","5690480","0.0283","0.0175","108.0496"
"21","Colorado","5845530","0.0263","5695560","5048280","0.1579","0.0175","56.4012"
"22","Minnesota","5700670","0.0159","5611180","5310840","0.0734","0.0170","71.5922"
"23","South Carolina","5210100","0.0248","5084130","4635660","0.1239","0.0156","173.3176"
"24","Alabama","4908620","0.0042","4887870","4785450","0.0257","0.0147","96.9221"
"25","Louisiana","4645180","-0.0032","4659980","4544530","0.0221","0.0139","107.5174"
"26","Kentucky","4499690","0.0070","4468400","4348200","0.0348","0.0135","113.9566"
"27","Oregon","4301090","0.0263","4190710","3837530","0.1208","0.0129","44.8086"
"28","Oklahoma","3954820","0.0030","3943080","3759630","0.0519","0.0118","57.6546"
"29","Connecticut","3563080","-0.0027","3572660","3579120","-0.0045","0.0107","735.8695"
"30","Utah","3282120","0.0383","3161100","2775330","0.1826","0.0098","39.9430"
"31","Iowa","3179850","0.0075","3156140","3050770","0.0423","0.0095","56.9284"
"32","Nevada","3139660","0.0347","3034390","2702460","0.1618","0.0094","28.5993"
"33","Arkansas","3039000","0.0084","3013820","2921980","0.0400","0.0091","58.4030"
"34","Puerto Rico","3032160","-0.0510","3195150","3721520","-0.1852","0.0091","876.6002"
"35","Mississippi","2989260","0.0009","2986530","2970540","0.0063","0.0089","63.7056"
"36","Kansas","2910360","-0.0004","2911500","2858210","0.0182","0.0087","35.5968"
"37","New Mexico","2096640","0.0006","2095430","2064590","0.0155","0.0063","17.2850"
"38","Nebraska","1952570","0.0121","1929270","1829540","0.0672","0.0058","25.4161"
"39","Idaho","1826160","0.0410","1754210","1570770","0.1626","0.0055","22.0970"
"40","West Virginia","1778070","-0.0154","1805830","1854210","-0.0411","0.0053","73.9691"
"41","Hawaii","1412690","-0.0055","1420490","1363960","0.0357","0.0042","219.9424"
"42","New Hampshire","1371250","0.0109","1356460","1316780","0.0414","0.0041","153.1610"
"43","Maine","1345790","0.0055","1338400","1327630","0.0137","0.0040","43.6336"
"44","Montana","1086760","0.0230","1062300","990722","0.0969","0.0033","7.4668"
"45","Rhode Island","1056160","-0.0011","1057320","1053940","0.0021","0.0032","1021.4313"
"46","Delaware","982895","0.0163","967171","899595","0.0926","0.0029","504.3073"
"47","South Dakota","903027","0.0236","882235","816165","0.1064","0.0027","11.9116"
"48","North Dakota","761723","0.0022","760077","674710","0.1290","0.0023","11.0393"
"49","Alaska","734002","-0.0047","737438","713906","0.0281","0.0022","1.2863"
"50","District of Columbia","720687","0.0260","702455","605085","0.1911","0.0022","11814.5410"
"51","Vermont","628061","0.0028","626299","625880","0.0035","0.0019","68.1416"
"52","Wyoming","567025","-0.0185","577737","564483","0.0045","0.0017","5.8400"
